date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2011-01-14,COALINDIA,310.5,310.45,315.5,307.95,2244505,1286297,0.5731,0.0161056530842307,310.815,318.33,312.62
2011-01-17,COALINDIA,313.15,307.25,314.0,306.2,1707118,1131451,0.6628000000000001,0.8534621578099699,310.4,317.742,312.84
2011-01-18,COALINDIA,311.15,313.5,313.95,308.0,844507,579156,0.6858,-0.6386715631486517,309.595,316.968,311.49
2011-01-19,COALINDIA,309.4,311.0,312.7,307.95,1426048,1165939,0.8176000000000001,-0.5624296962879693,309.55499999999995,316.541,311.03
2011-01-20,COALINDIA,315.7,308.8,319.2,308.1,6121175,3802714,0.6212,2.036199095022617,310.21500000000003,316.334,315.56
2011-01-21,COALINDIA,314.15,316.45,316.45,312.0,2413133,1600059,0.6631,-0.4909724421919614,310.72,316.161,314.12
2011-01-24,COALINDIA,310.45,314.9,314.9,309.0,1097986,854510,0.7783,-1.1777813146585991,311.25,315.79900000000004,312.36
2011-01-25,COALINDIA,310.0,311.0,315.7,308.55,2452476,1851736,0.755,-0.1449508777580876,311.345,315.596,313.31
2011-01-27,COALINDIA,308.3,311.0,312.9,307.2,2455783,2119811,0.8632,-0.5483870967741944,311.325,315.418,309.52
2011-01-28,COALINDIA,305.05,307.05,309.7,303.05,4236476,3499774,0.8261000000000001,-1.0541680181641255,310.785,315.158,306.12
2011-01-31,COALINDIA,304.35,302.0,307.5,300.55,3673855,2768967,0.7537,-0.2294705785936712,310.17,314.707,304.25
2011-02-01,COALINDIA,308.3,305.5,309.85,303.5,4863055,3864840,0.7947,1.2978478725151898,309.685,314.202,306.86
2011-02-02,COALINDIA,312.5,310.1,314.9,308.55,3374631,2879451,0.8533,1.3623094388582446,309.82,313.785,310.45
2011-02-03,COALINDIA,317.35,311.0,320.0,310.9,4211492,2596829,0.6165999999999999,1.5519999999999978,310.615,313.72900000000004,317.07
2011-02-04,COALINDIA,308.15,317.35,318.1,307.0,1688679,1145860,0.6786,-2.899007405073273,309.86,313.676,310.74
2011-02-07,COALINDIA,304.65,309.4,310.45,304.15,1799233,1176317,0.6537999999999999,-1.1358104819081616,308.91,313.505,306.13
2011-02-08,COALINDIA,301.4,306.9,307.45,296.2,3841730,2079897,0.5414,-1.0667979648777304,308.005,313.279,301.99
2011-02-09,COALINDIA,298.7,302.0,307.85,297.0,4490558,2908763,0.6478,-0.8958195089581955,306.875,312.904,301.26
2011-02-10,COALINDIA,297.65,300.1,304.0,293.25,2690945,1617845,0.6012,-0.3515232674924706,305.81,312.512,298.44
2011-02-11,COALINDIA,304.6,298.1,305.0,298.0,3292240,2356666,0.7158,2.3349571644549094,305.765,312.185,302.62
2011-02-14,COALINDIA,302.8,306.0,307.0,300.1,1942474,1187959,0.6116,-0.5909389363099149,305.61,311.744,304.03
2011-02-15,COALINDIA,302.45,304.5,307.85,302.0,3035367,1579406,0.5203,-0.1155878467635429,305.025,311.35400000000004,304.53
2011-02-16,COALINDIA,301.1,304.25,304.45,300.45,1619527,1086899,0.6711,-0.4463547693833614,303.885,310.968,301.79
2011-02-17,COALINDIA,305.05,302.95,306.4,302.0,2752128,1805067,0.6559,1.3118565260710646,302.65500000000003,310.669,303.78
2011-02-18,COALINDIA,302.35,303.9,305.2,300.1,1990388,1466408,0.7367,-0.8851008031470209,302.075,310.339,302.99
2011-02-21,COALINDIA,301.85,301.5,303.9,300.0,953044,610178,0.6402,-0.1653712584752775,301.795,310.112,301.5
2011-02-22,COALINDIA,301.35,302.5,303.5,300.3,1436876,1026711,0.7145,-0.1656451880072906,301.7900000000001,309.793,301.73
2011-02-23,COALINDIA,300.65,302.4,302.4,299.0,2131294,1678100,0.7874,-0.2322880371661062,301.985,309.343,300.4
2011-02-24,COALINDIA,299.3,301.4,303.0,298.25,2899140,2330640,0.8039000000000001,-0.4490271079327979,302.15,308.823,300.02
2011-02-25,COALINDIA,292.65,300.1,303.0,289.0,1964843,1277128,0.65,-2.221850985633156,300.95500000000004,308.119,293.62
2011-02-28,COALINDIA,327.7,299.0,331.75,296.1,20923045,10458419,0.4999,11.976764052622602,303.445,308.259,323.49
2011-03-01,COALINDIA,338.6,325.0,339.9,320.65,7867356,3256762,0.414,3.326212999694844,307.06,308.711,332.26
2011-03-03,COALINDIA,329.05,338.0,338.0,327.2,4387230,2356561,0.5371,-2.8204370939161283,309.855,309.026,331.24
2011-03-04,COALINDIA,324.25,332.7,334.95,323.25,1402888,698252,0.4977,-1.4587448716000595,311.775,309.23,328.02
2011-03-07,COALINDIA,341.0,322.0,343.55,318.4,7183263,2751092,0.383,5.165767154973011,315.64,309.791,333.68
2011-03-08,COALINDIA,337.25,343.0,344.5,335.35,3110206,756889,0.2434,-1.0997067448680342,319.18,310.293,339.58
2011-03-09,COALINDIA,339.55,339.8,341.2,336.05,1603527,720052,0.449,0.681986656782807,323.0,310.93800000000005,338.86
2011-03-10,COALINDIA,334.3,339.8,339.8,329.75,1612997,689565,0.4275,-1.5461640406420285,326.365,311.54900000000004,333.03
2011-03-11,COALINDIA,329.95,334.95,335.0,328.1,856545,479506,0.5598,-1.301226443314396,329.43,311.94300000000004,331.22
2011-03-14,COALINDIA,333.8,330.9,335.75,327.05,1128910,556678,0.4931,1.1668434611304734,333.545,312.458,333.39
2011-03-15,COALINDIA,338.45,329.0,342.9,320.15,4638465,1873660,0.4039,1.3930497303774605,334.62,312.932,336.4
2011-03-16,COALINDIA,343.9,339.1,347.9,333.5,3717632,1503494,0.4044,1.6102821687102864,335.15,313.464,344.62
2011-03-17,COALINDIA,342.95,342.0,347.5,338.5,1815524,996163,0.5487,-0.2762430939226457,336.54,313.939,344.01
2011-03-18,COALINDIA,344.4,343.5,347.0,337.6,2926170,1789785,0.6116,0.4228021577489471,338.55499999999995,314.63100000000003,342.17
2011-03-21,COALINDIA,347.15,343.35,349.9,343.3,3943734,2187204,0.5546,0.7984901277584111,339.17,315.392,347.0
2011-03-22,COALINDIA,360.0,347.5,371.4,347.4,9681241,3391426,0.3503,3.7015699265447344,341.445,316.41,361.24
2011-03-23,COALINDIA,353.9,361.0,363.8,352.05,2695567,1158076,0.4296,-1.694444444444454,342.88,317.385,356.27
2011-03-24,COALINDIA,358.3,353.9,361.35,353.9,2324343,1001871,0.431,1.2432890647075645,345.28000000000003,318.37,358.43
2011-03-25,COALINDIA,358.1,360.0,362.0,356.55,2203586,1212633,0.5503,-0.055819145967062,348.095,319.362,359.8
2011-03-28,COALINDIA,350.95,359.85,360.0,349.35,1128268,614447,0.5446,-1.9966489807316523,349.81,320.172,353.77
2011-03-29,COALINDIA,346.25,352.0,352.0,340.65,6481785,4528290,0.6986,-1.3392221114118752,350.59,320.887,343.83
2011-03-30,COALINDIA,341.4,347.0,350.5,340.1,2449230,1802367,0.7359,-1.4007220216606608,350.34000000000003,321.452,344.66
2011-03-31,COALINDIA,346.5,342.4,348.9,341.4,3248352,2396680,0.7378,1.4938488576450082,350.695,322.159,344.65
2011-04-01,COALINDIA,346.9,347.0,348.5,342.6,2169798,1456656,0.6713,0.115440115440113,350.94500000000005,322.909,345.31
2011-04-04,COALINDIA,355.95,347.35,360.95,345.35,2719239,1240020,0.456,2.6088209858748934,351.825,323.714,356.66
2011-04-05,COALINDIA,358.75,351.1,361.0,351.1,1328250,481386,0.3624,0.7866273352999054,351.7,324.606,357.63
2011-04-06,COALINDIA,366.45,358.75,367.8,354.8,4513558,1971444,0.4368,2.146341463414636,352.955,325.726,363.24
2011-04-07,COALINDIA,359.65,367.3,370.8,358.3,2485182,950280,0.3824,-1.8556419702551508,353.09000000000003,326.719,364.38
2011-04-08,COALINDIA,355.25,363.0,363.7,351.5,2121665,1262335,0.595,-1.223411650215478,352.80499999999995,327.658,354.75
2011-04-11,COALINDIA,357.6,356.4,363.0,352.6,2751598,1741275,0.6328,0.6615059817030255,353.47,328.709,357.26
2011-04-13,COALINDIA,353.9,358.0,359.4,350.0,1432901,803834,0.561,-1.0346756152125436,354.235,329.7,354.21
2011-04-15,COALINDIA,357.45,355.0,358.75,350.5,2609120,1482233,0.5681,1.0031082226617638,355.84,330.68300000000005,355.54
2011-04-18,COALINDIA,352.7,359.05,359.25,350.45,979661,513669,0.5243,-1.3288571828227735,356.46,331.487,354.22
