date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,DRREDDY,1410.95,1350.0,1410.95,1350.0,15205,0.0,0.0,8.002908756889159,1374.9,1467.544,1396.31
2000-03-14,DRREDDY,1523.85,1480.0,1523.85,1445.0,76430,0.0,0.0,8.001700981608128,1372.28,1467.856,1508.39
2000-03-15,DRREDDY,1570.35,1618.0,1645.8,1535.0,148160,0.0,0.0,3.051481445024118,1376.615,1466.684,1613.49
2000-03-16,DRREDDY,1445.75,1545.0,1545.0,1444.75,58404,0.0,0.0,-7.934536886681309,1380.61,1464.2379999999998,1493.92
2000-03-21,DRREDDY,1561.0,1480.0,1561.45,1469.0,76286,0.0,0.0,7.971641016773301,1407.375,1462.227,1553.92
2000-03-22,DRREDDY,1685.9,1600.0,1685.9,1600.0,62767,0.0,0.0,8.001281229980783,1444.605,1465.3630000000005,1684.44
2000-03-23,DRREDDY,1608.15,1797.9,1797.9,1551.05,180393,0.0,0.0,-4.611780058129189,1463.715,1467.448,1611.53
2000-03-24,DRREDDY,1651.55,1561.2,1697.0,1549.0,69655,0.0,0.0,2.6987532257563007,1497.37,1471.547,1636.95
2000-03-27,DRREDDY,1721.95,1680.0,1749.0,1605.0,65475,0.0,0.0,4.262662347491752,1548.585,1476.168,1686.86
2000-03-28,DRREDDY,1584.2,1700.0,1700.0,1584.2,37040,0.0,0.0,-7.999651557826882,1576.365,1478.303,1609.44
2000-03-29,DRREDDY,1457.5,1580.0,1580.0,1457.5,63832,0.0,0.0,-7.997727559651557,1581.02,1477.983,1474.4
2000-03-30,DRREDDY,1513.05,1405.0,1540.0,1365.0,130023,0.0,0.0,3.8113207547169736,1579.94,1478.069,1481.11
2000-03-31,DRREDDY,1632.35,1415.0,1634.1,1415.0,165627,0.0,0.0,7.884736129010927,1586.14,1481.7089999999998,1596.79
2000-04-03,DRREDDY,1549.35,1635.0,1717.0,1520.0,182077,0.0,0.0,-5.0846938462952185,1596.5,1481.368,1628.95
2000-04-04,DRREDDY,1425.4,1515.0,1550.0,1425.4,96542,0.0,0.0,-8.00012908639106,1582.94,1479.135,1462.16
2000-04-05,DRREDDY,1444.05,1426.0,1518.0,1410.0,81409,0.0,0.0,1.3084046583415,1558.755,1476.986,1456.81
2000-04-06,DRREDDY,1422.5,1479.0,1499.0,1330.1,76153,0.0,0.0,-1.492330597970981,1540.19,1475.016,1404.34
