date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,EICHERMOT,30.6,32.45,32.45,29.0,19200,0.0,0.0,-1.7656500802568087,36.46,51.502,30.04
2000-03-14,EICHERMOT,29.6,31.6,31.6,29.0,31900,0.0,0.0,-3.26797385620915,35.309999999999995,51.117,29.87
2000-03-15,EICHERMOT,32.0,32.0,32.0,32.0,1500,0.0,0.0,8.108108108108091,34.265,50.729,32.0
2000-03-16,EICHERMOT,34.6,34.55,34.6,34.55,12100,0.0,0.0,8.125000000000004,33.56,50.31,34.6
2000-03-21,EICHERMOT,37.4,34.9,37.4,34.9,20700,0.0,0.0,8.092485549132933,33.175,49.85799999999999,37.0
2000-03-22,EICHERMOT,40.4,39.0,40.4,39.0,1500,0.0,0.0,8.02139037433156,33.42,49.373000000000005,40.31
2000-03-23,EICHERMOT,41.8,43.6,43.65,40.0,27500,0.0,0.0,3.4653465346534684,34.105,48.89900000000001,43.2
2000-03-24,EICHERMOT,40.6,41.5,41.5,38.5,8275,0.0,0.0,-2.8708133971291794,34.93,48.479,39.73
2000-03-27,EICHERMOT,41.55,41.0,43.0,41.0,9785,0.0,0.0,2.339901477832496,35.97,48.031000000000006,42.01
2000-03-28,EICHERMOT,40.7,42.55,42.55,40.0,21350,0.0,0.0,-2.0457280385078103,36.925,47.62,41.2
2000-03-29,EICHERMOT,41.0,43.0,43.0,40.75,6800,0.0,0.0,0.7371007371007376,37.965,47.193000000000005,41.39
2000-03-30,EICHERMOT,40.0,40.9,41.8,38.55,6001,0.0,0.0,-2.4390243902439046,39.005,46.688,40.11
2000-03-31,EICHERMOT,42.6,41.15,43.2,39.0,3699,0.0,0.0,6.499999999999995,40.065000000000005,46.229,41.59
2000-04-03,EICHERMOT,42.35,42.0,43.0,41.95,7950,0.0,0.0,-0.5868544600938996,40.84,45.755,42.45
2000-04-04,EICHERMOT,39.0,42.0,42.0,39.0,8110,0.0,0.0,-7.910271546635183,41.0,45.287,39.44
2000-04-05,EICHERMOT,38.1,39.0,40.75,37.0,5850,0.0,0.0,-2.3076923076922995,40.77,44.784000000000006,38.91
2000-04-06,EICHERMOT,37.15,38.55,39.0,35.15,31575,0.0,0.0,-2.493438320209984,40.305,44.32899999999999,36.84
2000-04-07,EICHERMOT,40.15,37.25,40.15,37.25,6050,0.0,0.0,8.075370121130554,40.260000000000005,43.993,39.28
2000-04-10,EICHERMOT,40.8,39.4,41.5,39.4,4103,0.0,0.0,1.6189290161892966,40.185,43.668,40.56
2000-04-11,EICHERMOT,40.55,39.2,41.0,39.0,8419,0.0,0.0,-0.6127450980392135,40.17,43.371,40.15
2000-04-12,EICHERMOT,42.0,40.75,43.0,40.0,10300,0.0,0.0,3.5758323057953234,40.27,43.18,41.6
2000-04-13,EICHERMOT,41.2,41.1,42.5,41.05,3869,0.0,0.0,-1.904761904761898,40.39,42.976000000000006,41.58
2000-04-17,EICHERMOT,41.7,41.0,41.95,38.8,3735,0.0,0.0,1.2135922330097193,40.3,42.699,40.83
2000-04-18,EICHERMOT,43.15,41.5,43.8,41.5,6123,0.0,0.0,3.477218225419665,40.38,42.385,42.86
2000-04-19,EICHERMOT,43.65,43.5,46.4,42.0,7800,0.0,0.0,1.1587485515643037,40.845,41.986,44.45
2000-04-20,EICHERMOT,42.45,42.65,42.7,41.25,4831,0.0,0.0,-2.7491408934707806,41.28,41.626000000000005,42.21
2000-04-24,EICHERMOT,39.7,43.0,43.0,39.1,8930,0.0,0.0,-6.478209658421674,41.535,41.273,39.91
2000-04-25,EICHERMOT,39.7,38.5,39.75,38.0,6009,0.0,0.0,0.0,41.49,40.962,38.77
2000-04-26,EICHERMOT,40.25,39.65,41.0,39.65,13350,0.0,0.0,1.3853904282115748,41.435,40.636,40.32
2000-04-27,EICHERMOT,39.8,42.35,42.35,39.75,3804,0.0,0.0,-1.1180124223602594,41.36,40.332,40.09
2000-04-28,EICHERMOT,37.95,39.1,39.15,37.15,6149,0.0,0.0,-4.648241206030135,40.955,40.043,38.09
2000-05-02,EICHERMOT,36.45,38.0,38.0,35.7,11056,0.0,0.0,-3.9525691699604737,40.48,39.79,36.4
2000-05-03,EICHERMOT,34.55,34.05,35.0,34.0,4315,0.0,0.0,-5.212620027434856,39.765,39.571,34.58
2000-05-04,EICHERMOT,35.95,34.5,36.95,34.5,3100,0.0,0.0,4.05209840810421,39.045,39.36,35.86
2000-05-05,EICHERMOT,36.95,37.35,37.45,36.15,3050,0.0,0.0,2.781641168289295,38.37500000000001,39.181,36.86
2000-05-08,EICHERMOT,38.0,35.9,38.0,35.35,2300,0.0,0.0,2.841677943166432,37.93,39.025,36.65
2000-05-09,EICHERMOT,38.0,37.4,39.0,36.65,3315,0.0,0.0,0.0,37.760000000000005,38.892,37.46
2000-05-10,EICHERMOT,37.85,37.35,38.3,37.35,2501,0.0,0.0,-0.3947368421052588,37.575,38.787,37.66
2000-05-11,EICHERMOT,38.15,37.9,39.0,37.15,2101,0.0,0.0,0.7926023778071167,37.365,38.735,37.94
2000-05-12,EICHERMOT,37.9,38.45,39.35,37.0,4000,0.0,0.0,-0.6553079947575369,37.175,38.678,38.01
2000-05-15,EICHERMOT,38.45,37.5,39.0,36.0,4115,0.0,0.0,1.451187335092352,37.225,38.575,37.53
2000-05-16,EICHERMOT,38.15,38.0,39.75,37.15,15705,0.0,0.0,-0.7802340702210753,37.395,38.516000000000005,38.29
2000-05-17,EICHERMOT,37.1,40.0,40.0,37.0,2741,0.0,0.0,-2.752293577981646,37.65,38.409,37.42
2000-05-18,EICHERMOT,37.0,37.0,37.9,37.0,550,0.0,0.0,-0.2695417789757459,37.755,38.316,37.57
2000-05-19,EICHERMOT,37.0,38.0,38.0,36.5,820,0.0,0.0,0.0,37.76,38.231,37.31
2000-05-22,EICHERMOT,36.15,38.0,38.0,36.15,2200,0.0,0.0,-2.297297297297296,37.575,38.195,37.22
2000-05-23,EICHERMOT,37.5,37.5,38.0,36.25,1820,0.0,0.0,3.734439834024905,37.525,38.246,37.55
2000-05-24,EICHERMOT,34.55,36.05,36.5,34.5,14010,0.0,0.0,-7.866666666666678,37.195,38.29,35.08
2000-05-25,EICHERMOT,33.55,35.7,35.7,33.05,13620,0.0,0.0,-2.894356005788712,36.735,38.338,34.0
2000-05-26,EICHERMOT,33.3,33.5,33.7,33.1,6316,0.0,0.0,-0.7451564828613977,36.275,38.381,33.45
2000-05-29,EICHERMOT,36.0,34.0,36.0,34.0,6570,0.0,0.0,8.108108108108114,36.03,38.489,35.46
2000-05-30,EICHERMOT,38.9,37.0,38.9,36.0,42794,0.0,0.0,8.05555555555555,36.105,38.675,38.36
2000-05-31,EICHERMOT,40.9,42.0,42.0,40.5,39326,0.0,0.0,5.141388174807204,36.485,38.853,41.48
2000-06-01,EICHERMOT,38.35,39.1,40.7,38.05,5928,0.0,0.0,-6.23471882640586,36.62,38.928,38.95
2000-06-02,EICHERMOT,37.45,39.05,39.2,37.1,4321,0.0,0.0,-2.346805736636237,36.665,38.929,38.29
2000-06-05,EICHERMOT,38.15,38.0,38.95,38.0,4650,0.0,0.0,1.869158878504651,36.865,38.884,38.25
2000-06-06,EICHERMOT,36.6,37.0,38.0,36.2,10656,0.0,0.0,-4.062909567496719,36.775,38.78,37.02
2000-06-07,EICHERMOT,36.45,37.5,37.5,36.2,4027,0.0,0.0,-0.4098360655737654,36.965,38.697,36.84
2000-06-08,EICHERMOT,37.0,37.35,37.45,36.1,2450,0.0,0.0,1.5089163237311354,37.31,38.606,36.94
