date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,GAIL,64.75,64.9,65.7,62.75,51160,0.0,0.0,-0.9181331293037442,63.205,63.703,63.68
2000-03-14,GAIL,64.95,62.2,67.8,62.0,151438,0.0,0.0,0.3088803088803216,63.145,63.628,64.75
2000-03-15,GAIL,64.8,65.0,66.0,63.1,37636,0.0,0.0,-0.2309468822170979,62.80499999999999,63.597,64.83
2000-03-16,GAIL,64.95,63.1,66.0,63.0,49930,0.0,0.0,0.231481481481488,62.935,63.632,64.08
2000-03-21,GAIL,60.05,63.1,64.3,59.95,78537,0.0,0.0,-7.544264819091618,62.88,63.534000000000006,62.76
2001-07-02,GAIL,64.4,65.1,68.0,64.0,3480,0.0,0.0,7.243963363863459,63.31999999999999,63.569,66.17
2001-07-03,GAIL,64.4,67.45,67.45,63.1,2350,0.0,0.0,0.0,64.04,63.611,64.25
2001-07-04,GAIL,65.05,64.4,65.5,64.0,3755,0.0,0.0,1.0093167701863193,64.405,63.716,64.62
2001-07-05,GAIL,65.0,64.55,65.1,64.05,8190,0.0,0.0,-0.0768639508070712,64.37,63.785,64.84
2001-07-06,GAIL,65.0,64.6,65.0,64.25,18870,0.0,0.0,0.0,64.33500000000001,63.848,64.63
2001-07-09,GAIL,65.0,63.75,65.25,62.0,20910,0.0,0.0,0.0,64.36,63.899,64.65
2001-07-10,GAIL,64.9,64.45,65.25,64.45,9589,0.0,0.0,-0.1538461538461488,64.35499999999999,63.92100000000001,64.93
2001-07-11,GAIL,65.15,65.6,65.7,64.1,11845,0.0,0.0,0.3852080123266654,64.39,63.885,64.92
2001-07-12,GAIL,65.1,65.65,65.7,64.5,5120,0.0,0.0,-0.0767459708365447,64.405,63.871,65.32
2001-07-13,GAIL,64.5,64.5,65.25,64.25,9515,0.0,0.0,-0.9216589861751112,64.85,63.893,64.64
2001-07-16,GAIL,64.75,64.5,66.0,64.25,10410,0.0,0.0,0.3875968992248069,64.885,63.943000000000005,64.81
2001-07-17,GAIL,64.15,65.25,66.0,64.15,28977,0.0,0.0,-0.9266409266409203,64.86,63.983,64.89
2001-07-18,GAIL,64.85,64.25,65.75,64.25,19055,0.0,0.0,1.0911925175369983,64.84,64.069,65.12
2001-07-19,GAIL,63.5,64.5,65.0,63.5,21655,0.0,0.0,-2.081727062451799,64.69,64.123,64.1
2001-07-20,GAIL,63.0,63.8,64.0,63.0,62751,0.0,0.0,-0.7874015748031482,64.49,64.166,63.26
2001-07-23,GAIL,62.0,62.5,62.5,62.0,50,0.0,0.0,-1.5873015873015928,64.19,64.236,62.02
2001-07-24,GAIL,62.2,63.15,63.15,61.75,9700,0.0,0.0,0.3225806451612856,63.92,64.308,62.51
2001-07-25,GAIL,59.1,60.75,61.45,58.3,17316,0.0,0.0,-4.983922829581999,63.31500000000001,64.26899999999999,59.91
2001-07-26,GAIL,58.35,59.0,59.0,57.15,6694,0.0,0.0,-1.269035532994922,62.64,64.21700000000001,58.59
2001-07-27,GAIL,59.0,58.0,59.0,56.0,14627,0.0,0.0,1.1139674378748854,62.09,64.2,58.44
2001-07-30,GAIL,59.05,58.8,59.5,58.1,4650,0.0,0.0,0.0847457627118686,61.52,64.20599999999999,58.87
2001-07-31,GAIL,60.0,59.55,60.0,59.0,1886,0.0,0.0,1.6088060965283812,61.105,64.267,59.61
2001-08-01,GAIL,59.55,59.85,60.0,58.75,16810,0.0,0.0,-0.7500000000000062,60.575,64.283,59.85
2001-08-02,GAIL,59.95,59.95,60.65,59.3,6048,0.0,0.0,0.6717044500419878,60.220000000000006,64.252,59.8
2001-08-03,GAIL,59.8,59.25,60.0,59.0,13829,0.0,0.0,-0.2502085070892557,59.9,64.242,59.91
2001-08-06,GAIL,59.9,59.9,60.0,59.4,16155,0.0,0.0,0.1672240802675695,59.69,64.29700000000001,59.94
2001-08-07,GAIL,60.4,59.75,60.65,59.75,8525,0.0,0.0,0.8347245409014992,59.50999999999999,64.348,60.03
2001-08-08,GAIL,59.95,59.75,60.25,59.75,20555,0.0,0.0,-0.7450331125827714,59.59499999999999,64.384,59.98
2001-08-09,GAIL,60.0,59.3,60.0,59.3,3210,0.0,0.0,0.0834028356964111,59.760000000000005,64.328,59.78
2001-08-10,GAIL,59.95,60.6,60.6,59.5,4344,0.0,0.0,-0.0833333333333241,59.855,64.17,59.96
2001-08-13,GAIL,60.05,59.6,60.35,59.6,3390,0.0,0.0,0.1668056713928223,59.955,63.905,59.97
2001-08-14,GAIL,60.45,59.6,61.5,59.25,7817,0.0,0.0,0.6661115736886103,60.0,63.53,60.07
2001-08-16,GAIL,61.2,60.5,61.5,60.5,1396,0.0,0.0,1.2406947890818865,60.165,63.08,60.99
2001-08-17,GAIL,61.55,61.45,62.25,61.0,12060,0.0,0.0,0.5718954248365993,60.325,62.771,61.39
2001-08-20,GAIL,61.9,61.6,62.0,61.5,1785,0.0,0.0,0.5686433793663737,60.535,62.592,61.77
2001-08-21,GAIL,61.95,62.75,64.0,61.0,45417,0.0,0.0,0.0807754442649466,60.74000000000001,62.437,61.53
2001-08-23,GAIL,59.95,61.9,62.0,59.8,15520,0.0,0.0,-3.2284100080710254,60.69499999999999,62.325,60.03
2001-08-24,GAIL,59.35,60.0,60.6,59.25,14791,0.0,0.0,-1.0008340283569672,60.635000000000005,62.148,59.7
2001-08-27,GAIL,58.6,60.0,60.5,58.0,42995,0.0,0.0,-1.263689974726201,60.495000000000005,62.047,58.63
2001-08-28,GAIL,58.0,58.9,58.95,57.85,29670,0.0,0.0,-1.0238907849829393,60.3,61.995,58.22
2001-08-29,GAIL,57.9,58.9,59.0,57.85,11077,0.0,0.0,-0.1724137931034541,60.085,61.953,58.4
2001-08-30,GAIL,57.5,58.0,58.35,57.45,13090,0.0,0.0,-0.6908462867012077,59.79,61.959,57.69
2001-08-31,GAIL,56.0,58.0,58.0,55.85,26865,0.0,0.0,-2.608695652173909,59.27,61.851000000000006,56.64
2001-09-03,GAIL,54.0,56.25,56.25,53.85,39554,0.0,0.0,-3.57142857142857,58.515,61.624,54.24
2001-09-04,GAIL,54.75,54.0,55.0,52.75,26369,0.0,0.0,1.388888888888884,57.8,61.412,53.75
2001-09-05,GAIL,50.8,51.8,52.0,50.45,12742,0.0,0.0,-7.214611872146126,56.68499999999999,61.133,51.4
2001-09-06,GAIL,51.7,50.8,51.75,50.8,12321,0.0,0.0,1.7716535433071057,55.86,60.868,51.59
2001-09-07,GAIL,51.95,52.0,52.5,51.55,9036,0.0,0.0,0.4835589941972973,55.120000000000005,60.611,51.74
2001-09-10,GAIL,52.45,51.75,52.65,51.75,8375,0.0,0.0,0.9624639076034612,54.505,60.361,52.25
2001-09-11,GAIL,52.5,52.65,53.2,52.15,7361,0.0,0.0,0.0953288846520461,53.955,60.21,52.86
2001-09-12,GAIL,50.0,51.0,52.0,49.75,17801,0.0,0.0,-4.761904761904767,53.165,59.922,50.59
2001-09-13,GAIL,49.05,50.0,52.0,48.5,22129,0.0,0.0,-1.9000000000000017,52.32000000000001,59.615,50.05
2001-09-14,GAIL,45.95,49.7,49.7,44.05,18251,0.0,0.0,-6.3200815494393385,51.315,59.233,46.0
2001-09-17,GAIL,43.5,45.7,45.7,43.0,12901,0.0,0.0,-5.331882480957573,50.265,58.803,43.59
2001-09-18,GAIL,45.5,44.8,46.45,44.1,6168,0.0,0.0,4.597701149425282,49.34,58.413,45.06
2001-09-19,GAIL,45.95,45.0,46.45,45.0,7195,0.0,0.0,0.9890109890109856,48.855,58.032,45.94
2001-09-20,GAIL,47.85,46.0,48.4,45.0,11325,0.0,0.0,4.1349292709466745,48.47,57.691,46.43
2001-09-21,GAIL,47.05,47.35,47.85,45.75,6230,0.0,0.0,-1.671891327063746,47.98,57.32899999999999,47.03
2001-09-24,GAIL,47.55,45.25,47.9,45.25,5686,0.0,0.0,1.0626992561105109,47.49,56.978,47.24
2001-09-25,GAIL,47.65,47.25,48.25,47.25,3646,0.0,0.0,0.2103049421661396,47.005,56.64099999999999,47.66
2001-09-26,GAIL,49.65,47.0,50.0,47.0,6510,0.0,0.0,4.197271773347322,46.97,56.339,49.01
2001-09-27,GAIL,50.1,50.9,51.0,50.0,5075,0.0,0.0,0.9063444108761364,47.075,56.05799999999999,50.57
2001-09-28,GAIL,50.6,51.3,51.35,50.0,1708,0.0,0.0,0.9980039920159722,47.54,55.773,50.54
2001-10-01,GAIL,52.4,51.0,52.5,50.45,13676,0.0,0.0,3.5573122529644285,48.42999999999999,55.551,51.66
2001-10-03,GAIL,53.55,54.0,55.0,53.0,20083,0.0,0.0,2.194656488549618,49.235,55.362,53.77
2001-10-04,GAIL,55.0,55.0,55.0,53.5,12125,0.0,0.0,2.707749766573309,50.14,55.222,54.12
2001-10-05,GAIL,54.9,55.0,55.0,54.1,11471,0.0,0.0,-0.181818181818183,50.845,55.076,54.74
2001-10-08,GAIL,54.95,53.0,55.95,52.45,58400,0.0,0.0,0.0910746812386342,51.635000000000005,54.993,55.03
2001-10-09,GAIL,54.95,54.0,55.0,54.0,15534,0.0,0.0,0.0,52.375,54.925,54.88
2001-10-10,GAIL,54.9,55.05,55.05,54.5,8920,0.0,0.0,-0.0909918107370399,53.1,54.84299999999999,54.65
2001-10-11,GAIL,54.9,54.95,55.5,54.55,9392,0.0,0.0,0.0,53.625,54.76,55.11
2001-10-12,GAIL,54.25,55.75,55.75,54.15,4406,0.0,0.0,-1.1839708561020013,54.04,54.645,54.59
2001-10-15,GAIL,54.85,54.65,55.0,54.0,13600,0.0,0.0,1.105990783410138,54.465,54.551,54.64
2001-10-16,GAIL,55.95,56.0,56.5,54.7,8329,0.0,0.0,2.0054694621695512,54.82000000000001,54.471,55.88
2001-10-17,GAIL,55.8,56.0,56.85,52.05,7007,0.0,0.0,-0.2680965147453196,55.045,54.39099999999999,55.88
2001-10-18,GAIL,56.95,56.0,57.85,53.0,14539,0.0,0.0,2.060931899641582,55.24,54.332,56.77
2001-10-19,GAIL,57.75,57.5,58.0,56.15,6187,0.0,0.0,1.4047410008779515,55.525,54.279,57.24
2001-10-22,GAIL,57.55,55.55,58.0,55.55,28657,0.0,0.0,-0.3463203463203501,55.785,54.231,57.78
2001-10-23,GAIL,58.0,58.0,59.5,57.3,29643,0.0,0.0,0.7819287576020795,56.09,54.191,58.0
2001-10-24,GAIL,58.9,58.0,58.95,57.6,33332,0.0,0.0,1.551724137931032,56.49,54.17,58.84
2001-10-25,GAIL,58.9,58.9,59.4,58.5,10332,0.0,0.0,0.0,56.89,54.147,58.75
2001-10-29,GAIL,59.05,60.0,60.0,58.5,10725,0.0,0.0,0.2546689303905003,57.36999999999999,54.11900000000001,59.08
2001-10-30,GAIL,59.9,60.0,60.0,58.5,25860,0.0,0.0,1.4394580863674955,57.875,54.09299999999999,59.41
2001-10-31,GAIL,59.95,58.55,60.5,58.55,5875,0.0,0.0,0.0834724540901499,58.275,54.06100000000001,59.94
2001-11-01,GAIL,60.4,60.9,60.9,59.5,12025,0.0,0.0,0.7506255212677226,58.73499999999999,54.031000000000006,60.12
2001-11-02,GAIL,59.9,60.6,60.6,59.9,12477,0.0,0.0,-0.8278145695364225,59.03000000000001,53.99,60.09
2001-11-05,GAIL,59.9,60.4,60.5,59.6,8755,0.0,0.0,0.0,59.245000000000005,53.989,60.01
2001-11-06,GAIL,60.7,60.0,62.0,59.5,63450,0.0,0.0,1.3355592654424209,59.55999999999999,54.016000000000005,60.59
2001-11-07,GAIL,62.55,61.0,63.25,60.85,24989,0.0,0.0,3.0477759472816945,60.015,54.095,62.15
2001-11-08,GAIL,62.65,62.0,62.75,61.1,22259,0.0,0.0,0.1598721023181371,60.39,54.188,62.26
2001-11-09,GAIL,61.95,62.25,62.9,61.25,40893,0.0,0.0,-1.1173184357541777,60.69500000000001,54.269,62.02
2001-11-12,GAIL,62.65,61.1,63.9,61.1,81950,0.0,0.0,1.1299435028248483,61.05500000000001,54.372,62.2
2001-11-13,GAIL,62.9,61.35,64.5,61.35,92095,0.0,0.0,0.3990422984836428,61.355,54.51,62.54
2001-11-14,GAIL,63.5,65.0,65.9,63.0,8150,0.0,0.0,0.9538950715421324,61.71,54.7,63.89
2001-11-15,GAIL,63.75,64.0,65.0,63.0,75854,0.0,0.0,0.3937007874015741,62.045,54.88,63.9
2001-11-19,GAIL,63.7,63.0,64.0,62.0,40633,0.0,0.0,-0.0784313725490148,62.425,55.13799999999999,63.22
2001-11-20,GAIL,64.0,63.75,64.5,62.5,21387,0.0,0.0,0.4709576138147486,62.835,55.38399999999999,63.57
2001-11-21,GAIL,64.9,63.0,65.0,63.0,84082,0.0,0.0,1.4062500000000089,63.25500000000001,55.643,64.79
2001-11-22,GAIL,64.6,66.0,66.0,64.0,47443,0.0,0.0,-0.4622496147920096,63.46,55.886,64.76
2001-11-23,GAIL,64.6,65.0,65.0,63.95,111395,0.0,0.0,0.0,63.655,56.128,64.76
2001-11-26,GAIL,64.65,65.0,65.9,64.05,46441,0.0,0.0,0.0773993808049766,63.925,56.42099999999999,64.7
