date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,HDFCBANK,269.95,250.0,274.5,250.0,207982,0.0,0.0,6.216801101711589,256.7,219.412,264.1
2000-03-14,HDFCBANK,265.4,275.5,280.0,256.0,178202,0.0,0.0,-1.6854973143174743,261.56,221.32,262.42
2000-03-15,HDFCBANK,259.85,270.0,270.0,247.0,82786,0.0,0.0,-2.091183119819129,264.13,223.04100000000005,258.15
2000-03-16,HDFCBANK,256.95,262.0,262.0,255.05,132464,0.0,0.0,-1.1160284779680674,264.535,224.841,258.11
2000-03-21,HDFCBANK,255.8,260.0,260.0,246.7,160111,0.0,0.0,-0.4475578906401933,262.8,226.591,253.52
2000-03-22,HDFCBANK,261.15,259.75,265.0,254.05,76130,0.0,0.0,2.091477716966361,262.31,228.447,260.42
2000-03-23,HDFCBANK,280.4,258.25,282.05,258.25,253844,0.0,0.0,7.371242580892212,264.53,230.737,277.67
2000-03-24,HDFCBANK,273.4,275.1,277.75,264.5,117154,0.0,0.0,-2.496433666191156,264.665,232.937,270.64
2000-03-27,HDFCBANK,271.7,275.0,278.0,266.25,61131,0.0,0.0,-0.6217995610826588,264.875,235.062,271.53
2000-03-28,HDFCBANK,275.1,268.5,278.5,268.05,98364,0.0,0.0,1.2513801987486417,266.97,237.262,273.31
2000-03-29,HDFCBANK,265.4,276.0,287.95,263.05,98480,0.0,0.0,-3.525990548891333,266.515,239.261,272.29
2000-03-30,HDFCBANK,262.55,256.5,266.0,251.0,95368,0.0,0.0,-1.0738507912584685,266.23,240.938,257.66
2000-03-31,HDFCBANK,257.2,253.0,260.0,252.0,74360,0.0,0.0,-2.037707103408881,265.965,242.768,256.56
2000-04-03,HDFCBANK,247.15,259.95,273.0,240.15,168588,0.0,0.0,-3.907465007776045,264.985,244.131,256.59
2000-04-04,HDFCBANK,227.4,243.0,243.0,227.4,71783,0.0,0.0,-7.991098523164075,262.14500000000004,245.107,227.68
2000-04-05,HDFCBANK,209.25,232.0,232.0,209.25,87281,0.0,0.0,-7.981530343007915,256.95500000000004,245.529,215.65
2000-04-06,HDFCBANK,192.55,207.0,212.0,192.55,83506,0.0,0.0,-7.980884109916364,248.17,245.36900000000003,196.65
2000-04-07,HDFCBANK,207.95,195.0,207.95,185.05,160929,0.0,0.0,7.99792261750194,241.625,245.196,207.41
2000-04-10,HDFCBANK,224.6,224.5,224.6,219.95,156056,0.0,0.0,8.006732387593175,236.915,245.094,224.44
2000-04-11,HDFCBANK,226.2,224.6,234.9,209.0,295933,0.0,0.0,0.7123775601068472,232.025,245.06,222.63
2000-04-12,HDFCBANK,233.0,238.0,243.0,223.0,130901,0.0,0.0,3.006189213085775,228.785,244.965,232.04
2000-04-13,HDFCBANK,231.45,229.0,234.0,215.0,191316,0.0,0.0,-0.6652360515021494,225.675,244.775,225.69
2000-04-17,HDFCBANK,212.95,225.0,225.0,212.95,128329,0.0,0.0,-7.993087059840143,221.25,244.154,214.03
2000-04-18,HDFCBANK,222.1,214.05,224.9,214.05,136898,0.0,0.0,4.296783282460681,218.745,244.077,220.07
2000-04-19,HDFCBANK,226.45,229.0,232.0,219.0,140953,0.0,0.0,1.9585772174696148,218.65,244.027,225.01
2000-04-20,HDFCBANK,225.7,223.0,227.0,215.3,179397,0.0,0.0,-0.3311989401633908,220.295,243.607,221.84
2000-04-24,HDFCBANK,232.1,225.0,235.9,224.5,198636,0.0,0.0,2.8356225077536656,224.25,243.234,230.97
2000-04-25,HDFCBANK,230.95,228.1,235.0,220.0,256016,0.0,0.0,-0.4954760878931541,226.55,242.803,226.6
2000-04-26,HDFCBANK,249.25,239.9,249.45,231.25,188978,0.0,0.0,7.923793028794113,229.015,242.753,243.55
2000-04-27,HDFCBANK,245.5,254.7,255.0,233.1,255768,0.0,0.0,-1.5045135406218657,230.945,243.021,243.28
2000-04-28,HDFCBANK,245.15,242.05,249.5,240.05,167249,0.0,0.0,-0.1425661914460252,232.16,243.255,245.37
2000-05-02,HDFCBANK,251.2,247.0,254.0,240.0,253873,0.0,0.0,2.467876810116243,234.135,243.727,247.26
2000-05-03,HDFCBANK,246.2,243.0,249.9,232.5,222892,0.0,0.0,-1.9904458598726136,237.46,243.734,243.14
2000-05-04,HDFCBANK,250.8,254.9,257.0,246.1,172245,0.0,0.0,1.8683996750609388,240.33,243.742,250.82
2000-05-05,HDFCBANK,259.85,248.5,270.0,247.25,284419,0.0,0.0,3.608452950558228,243.67,244.087,260.3
2000-05-08,HDFCBANK,260.45,265.0,275.0,256.0,138220,0.0,0.0,0.2309024437175066,247.145,244.573,260.42
2000-05-09,HDFCBANK,261.4,256.0,264.95,253.0,114288,0.0,0.0,0.3647533115761048,250.075,245.45,259.1
2000-05-10,HDFCBANK,262.65,260.0,265.0,252.0,187477,0.0,0.0,0.4781943381790388,253.245,246.314,259.75
2000-05-11,HDFCBANK,265.8,255.1,270.9,254.05,243138,0.0,0.0,1.1993146773272567,254.9,247.09,264.03
2000-05-12,HDFCBANK,262.1,271.4,271.4,260.1,129698,0.0,0.0,-1.392024078254317,256.56,247.792,264.39
2000-05-15,HDFCBANK,257.1,258.05,262.0,251.0,165313,0.0,0.0,-1.9076688286913333,257.755,248.383,256.61
2000-05-16,HDFCBANK,256.25,257.0,261.75,255.0,107407,0.0,0.0,-0.3306106573317868,258.26,249.172,257.24
2000-05-17,HDFCBANK,258.05,260.0,261.0,255.1,80143,0.0,0.0,0.7024390243902445,259.44500000000005,249.65,258.02
2000-05-18,HDFCBANK,256.05,255.1,259.0,255.0,48871,0.0,0.0,-0.775043596202285,259.97,249.713,256.49
2000-05-19,HDFCBANK,255.75,252.05,260.5,252.05,216905,0.0,0.0,-0.1171646162858808,259.56,249.365,256.65
2000-05-22,HDFCBANK,248.85,256.0,257.9,243.25,110150,0.0,0.0,-2.697947214076246,258.4,249.021,250.11
2000-05-23,HDFCBANK,233.75,247.0,247.0,219.05,203910,0.0,0.0,-6.067912397026321,255.635,248.532,230.74
2000-05-24,HDFCBANK,242.1,230.0,252.45,220.1,319841,0.0,0.0,3.572192513368977,253.58,247.933,241.3
2000-05-25,HDFCBANK,233.6,242.5,247.5,230.1,157631,0.0,0.0,-3.510945890128048,250.36,247.213,239.09
2000-05-26,HDFCBANK,230.25,231.1,235.95,225.1,138735,0.0,0.0,-1.434075342465746,247.175,246.735,231.55
2000-05-29,HDFCBANK,224.65,228.05,231.5,212.0,141151,0.0,0.0,-2.4321389793702464,243.93,245.829,222.08
2000-05-30,HDFCBANK,223.8,227.0,229.5,216.0,146745,0.0,0.0,-0.3783663476519039,240.685,244.997,223.31
2000-05-31,HDFCBANK,230.3,231.0,239.4,225.0,152669,0.0,0.0,2.9043789097408457,237.91,244.406,230.26
2000-06-01,HDFCBANK,229.25,227.0,232.0,226.0,93573,0.0,0.0,-0.455927051671734,235.23,243.852,229.34
2000-06-02,HDFCBANK,244.5,232.0,247.0,232.0,221847,0.0,0.0,6.652126499454747,234.105,243.626,239.93
2000-06-05,HDFCBANK,247.05,246.1,263.5,244.15,157111,0.0,0.0,1.0429447852760676,233.925,243.344,254.38
2000-06-06,HDFCBANK,244.6,255.0,255.0,237.0,91793,0.0,0.0,-0.9917020845982673,235.01000000000005,242.628,243.49
2000-06-07,HDFCBANK,239.5,238.0,240.4,234.0,80002,0.0,0.0,-2.085036794766959,234.75,241.95,238.78
2000-06-08,HDFCBANK,240.35,240.0,244.9,237.0,63662,0.0,0.0,0.3549060542797466,235.425,241.323,240.33
2000-06-09,HDFCBANK,245.25,242.0,250.0,242.0,108211,0.0,0.0,2.038693571874361,236.925,240.726,245.96
2000-06-12,HDFCBANK,244.35,246.5,249.0,243.1,64144,0.0,0.0,-0.3669724770642202,238.895,240.305,245.77
2000-06-13,HDFCBANK,253.6,240.0,255.0,239.0,114014,0.0,0.0,3.785553509310424,241.875,240.12600000000003,248.08
2000-06-14,HDFCBANK,250.3,259.0,259.0,249.0,70730,0.0,0.0,-1.3012618296529888,243.875,239.988,250.83
2000-06-15,HDFCBANK,250.9,251.05,253.0,247.55,63502,0.0,0.0,0.239712345185783,246.04,240.063,250.18
2000-06-16,HDFCBANK,251.0,243.0,252.95,243.0,55813,0.0,0.0,0.0398565165404596,246.69,240.535,250.68
2000-06-19,HDFCBANK,251.65,245.25,253.0,245.15,74185,0.0,0.0,0.258964143426299,247.15,241.38300000000004,251.41
2000-06-20,HDFCBANK,254.6,254.9,258.7,246.5,100754,0.0,0.0,1.1722630637790443,248.15,242.624,254.39
2000-06-21,HDFCBANK,256.2,258.0,263.0,253.1,183914,0.0,0.0,0.628436763550666,249.82,243.58900000000003,258.96
2000-06-22,HDFCBANK,257.1,258.1,262.0,256.0,65074,0.0,0.0,0.3512880562061005,251.495,244.239,258.49
2000-06-23,HDFCBANK,257.4,254.1,259.0,254.1,75781,0.0,0.0,0.1166861143523823,252.71,244.863,257.43
2000-06-26,HDFCBANK,255.15,254.35,257.45,254.15,66041,0.0,0.0,-0.874125874125864,253.79,245.306,255.02
2000-06-27,HDFCBANK,251.9,255.0,255.0,251.0,74332,0.0,0.0,-1.2737605330197963,253.62000000000003,245.715,253.42
2000-06-28,HDFCBANK,250.45,260.0,260.0,248.1,60383,0.0,0.0,-0.575625248114342,253.635,246.465,250.33
2000-06-29,HDFCBANK,257.6,251.5,259.0,251.0,77404,0.0,0.0,2.8548612497504733,254.305,247.175,255.46
2000-06-30,HDFCBANK,252.35,255.0,255.7,252.0,38450,0.0,0.0,-2.038043478260876,254.44,247.693,252.7
2000-07-03,HDFCBANK,268.65,253.1,278.0,252.05,200434,0.0,0.0,6.459282742223094,256.14,248.552,266.29
2000-07-04,HDFCBANK,278.85,268.0,280.85,266.0,313429,0.0,0.0,3.796761585706321,258.56499999999994,249.487,276.58
2000-07-05,HDFCBANK,278.0,284.8,284.8,271.25,219271,0.0,0.0,-0.3048233817464663,260.745,250.42800000000005,276.61
2000-07-06,HDFCBANK,275.95,278.0,279.9,272.7,95733,0.0,0.0,-0.7374100719424459,262.63,250.962,275.03
2000-07-07,HDFCBANK,281.8,277.0,285.0,275.05,212198,0.0,0.0,2.119949266171406,265.07,251.688,281.49
2000-07-10,HDFCBANK,275.7,280.0,283.0,273.0,144167,0.0,0.0,-2.164655784244152,267.125,252.299,278.92
2000-07-11,HDFCBANK,274.85,279.0,280.0,274.0,91841,0.0,0.0,-0.3083061298512768,269.42,252.772,276.2
2000-07-12,HDFCBANK,267.9,275.0,278.7,261.0,182915,0.0,0.0,-2.528651991995645,271.165,253.206,270.24
2000-07-13,HDFCBANK,265.85,273.9,276.15,262.15,205966,0.0,0.0,-0.7652108995893858,271.99,253.507,268.01
2000-07-14,HDFCBANK,265.8,265.05,270.0,264.1,77555,0.0,0.0,-0.01880759826971,273.33500000000004,253.626,266.91
2000-07-17,HDFCBANK,254.35,264.1,264.25,254.0,112576,0.0,0.0,-4.30775018811137,271.90500000000003,253.504,255.95
2000-07-18,HDFCBANK,250.25,254.25,255.4,250.0,142612,0.0,0.0,-1.6119520345979963,269.045,253.281,251.66
2000-07-19,HDFCBANK,251.25,248.0,252.95,248.0,69404,0.0,0.0,0.3996003996004083,266.37,253.053,250.34
2000-07-20,HDFCBANK,248.35,250.0,258.0,245.1,98811,0.0,0.0,-1.154228855721395,263.61,252.704,251.61
2000-07-21,HDFCBANK,241.6,248.5,249.85,240.1,114812,0.0,0.0,-2.717938393396413,259.59000000000003,252.294,242.87
2000-07-24,HDFCBANK,231.2,235.05,238.0,225.1,213982,0.0,0.0,-4.304635761589404,255.14,251.776,228.9
2000-07-25,HDFCBANK,242.65,226.0,248.7,222.6,102331,0.0,0.0,4.9524221453287165,251.92,251.504,236.41
2000-07-26,HDFCBANK,245.0,249.0,252.0,242.5,60763,0.0,0.0,0.9684731094168564,249.63,251.243,245.33
2000-07-27,HDFCBANK,244.5,243.35,245.8,241.0,30942,0.0,0.0,-0.2040816326530636,247.495,251.012,243.63
2000-07-28,HDFCBANK,235.1,242.05,245.6,234.0,129944,0.0,0.0,-3.8445807770961182,244.425,250.599,238.83
2000-07-31,HDFCBANK,232.9,235.0,236.0,230.0,24643,0.0,0.0,-0.935772011909819,242.28000000000003,250.28,233.88
2000-08-01,HDFCBANK,227.45,235.9,235.9,226.2,73100,0.0,0.0,-2.3400601116359,240.0,250.154,229.64
2000-08-02,HDFCBANK,224.0,228.5,229.9,218.0,117080,0.0,0.0,-1.5168168828313844,237.275,249.792,223.22
2000-08-03,HDFCBANK,252.45,224.8,257.9,224.05,295403,0.0,0.0,12.700892857142843,237.685,250.169,242.59
2000-08-04,HDFCBANK,249.75,245.0,254.0,242.25,283882,0.0,0.0,-1.0695187165775333,238.5,250.55900000000003,250.17
