date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,HEROHONDA,947.55,959.0,985.0,925.0,11794,0.0,0.0,1.2447911101613365,843.4799999999999,1018.4,937.3
2000-03-14,HEROHONDA,902.85,931.0,931.0,872.0,16539,0.0,0.0,-4.717429159411102,851.5200000000001,1012.305,903.22
2000-03-15,HEROHONDA,924.25,925.0,970.0,918.75,9721,0.0,0.0,2.3702719167082,861.365,1006.793,944.88
2000-03-16,HEROHONDA,910.7,940.0,940.0,890.0,3497,0.0,0.0,-1.4660535569380515,872.72,1002.131,908.07
2000-03-21,HEROHONDA,901.7,900.0,912.0,900.0,9577,0.0,0.0,-0.988250796090917,883.125,996.937,902.18
2000-03-22,HEROHONDA,973.85,940.0,973.85,921.0,7271,0.0,0.0,8.00155262282356,898.3,994.283,961.06
2000-03-23,HEROHONDA,1051.8,1015.0,1051.8,1015.0,6122,0.0,0.0,8.004312779175438,922.325,992.792,1049.79
2000-03-24,HEROHONDA,1087.95,1100.0,1124.8,992.5,30830,0.0,0.0,3.4369652025100006,950.61,992.049,1053.86
2000-03-27,HEROHONDA,1000.95,1055.0,1070.0,1000.95,6554,0.0,0.0,-7.99669102440369,963.75,988.569,1016.04
2000-03-28,HEROHONDA,986.55,960.0,1001.0,945.0,8180,0.0,0.0,-1.438633298366565,968.8150000000002,985.372,967.65
2000-03-29,HEROHONDA,944.35,970.0,984.0,925.0,6043,0.0,0.0,-4.2775328163803135,968.495,980.453,947.62
2000-03-30,HEROHONDA,936.0,940.0,975.0,901.0,9799,0.0,0.0,-0.8842060676655938,971.8099999999998,973.462,932.13
2000-03-31,HEROHONDA,970.4,950.0,986.0,905.0,18169,0.0,0.0,3.675213675213662,976.425,966.977,961.66
2000-04-03,HEROHONDA,999.05,999.0,1019.0,963.0,9433,0.0,0.0,2.952390766694135,985.26,961.507,988.08
2000-04-04,HEROHONDA,947.5,981.0,1000.0,920.0,22020,0.0,0.0,-5.15990190681147,989.84,955.399,956.48
2000-04-05,HEROHONDA,952.15,990.0,990.0,949.0,5338,0.0,0.0,0.4907651715039485,987.6699999999998,949.591,962.08
2000-04-06,HEROHONDA,932.35,941.0,969.0,900.0,8859,0.0,0.0,-2.079504279787847,975.725,943.996,933.25
2000-04-07,HEROHONDA,1006.95,940.0,1006.95,940.0,8151,0.0,0.0,8.001287070306207,967.625,939.763,981.28
2000-04-10,HEROHONDA,1043.9,1000.0,1087.55,980.0,9197,0.0,0.0,3.669496995878641,971.92,936.895,1068.83
2000-04-11,HEROHONDA,1000.9,1026.0,1026.0,983.6,5610,0.0,0.0,-4.119168502730153,973.355,932.962,1001.52
2000-04-12,HEROHONDA,962.9,1000.0,1000.0,960.0,4702,0.0,0.0,-3.796583075232296,975.21,928.714,973.33
2000-04-13,HEROHONDA,925.85,945.0,945.0,902.0,4411,0.0,0.0,-3.847751583757397,974.195,924.306,925.17
2000-04-17,HEROHONDA,908.25,880.0,920.0,860.15,6061,0.0,0.0,-1.9009558783820268,967.98,921.092,893.97
2000-04-18,HEROHONDA,906.45,902.1,940.0,900.0,6083,0.0,0.0,-0.1981833195705995,958.72,918.036,916.96
2000-04-19,HEROHONDA,854.65,925.0,939.0,840.0,8796,0.0,0.0,-5.714600915659995,949.435,914.767,885.45
2000-04-20,HEROHONDA,896.0,850.0,923.0,830.0,7501,0.0,0.0,4.838237875153584,943.82,912.78,882.65
2000-04-24,HEROHONDA,853.25,890.0,895.0,841.0,6957,0.0,0.0,-4.77120535714286,935.91,910.595,868.87
2000-04-25,HEROHONDA,814.25,825.0,844.0,800.0,6520,0.0,0.0,-4.570758863170232,916.64,907.455,819.33
2000-04-26,HEROHONDA,879.4,840.0,879.4,840.0,4360,0.0,0.0,8.001228124040516,900.1899999999999,905.935,865.56
2000-04-27,HEROHONDA,905.3,901.0,932.8,885.0,15912,0.0,0.0,2.945189902206047,890.6299999999999,905.627,909.07
2000-04-28,HEROHONDA,926.3,934.0,940.0,902.0,5515,0.0,0.0,2.319673036562464,886.97,906.244,919.84
2000-05-02,HEROHONDA,955.2,950.0,985.0,940.0,17869,0.0,0.0,3.1199395444240663,889.905,907.475,962.05
2000-05-03,HEROHONDA,874.9,900.0,940.0,873.0,11764,0.0,0.0,-8.406616415410396,886.57,907.136,892.08
2000-05-04,HEROHONDA,891.2,881.0,915.0,868.05,7453,0.0,0.0,1.8630700651503185,885.0450000000001,907.096,890.34
2000-05-05,HEROHONDA,880.0,909.95,910.0,875.0,5629,0.0,0.0,-1.25673249551167,887.5799999999999,907.939,889.3
2000-05-08,HEROHONDA,886.1,889.25,899.85,880.0,4492,0.0,0.0,0.6931818181818317,886.5899999999999,908.452,889.79
