date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,IOC,166.2,170.0,172.0,162.1,24507,0.0,0.0,-3.175065540343736,186.895,233.913,168.04
2000-03-14,IOC,166.85,170.0,170.0,155.0,84921,0.0,0.0,0.3910950661853318,181.42,231.833,162.77
2000-03-15,IOC,174.95,161.1,180.2,161.1,35131,0.0,0.0,4.854659874138445,176.725,230.044,174.48
2000-03-16,IOC,169.3,176.8,176.8,165.0,15994,0.0,0.0,-3.229494141183187,173.24,228.204,169.81
2000-03-21,IOC,166.7,169.0,169.0,163.25,32428,0.0,0.0,-1.5357353809805183,170.91500000000002,226.336,166.26
2000-03-22,IOC,180.05,173.0,180.05,168.5,17745,0.0,0.0,8.008398320335953,171.075,224.648,177.31
2000-03-23,IOC,193.7,189.0,194.45,185.0,18615,0.0,0.0,7.581227436823101,173.16000000000005,223.495,190.3
2000-03-24,IOC,203.4,196.0,205.0,187.1,22486,0.0,0.0,5.007743933918429,176.67000000000002,222.768,197.71
2000-03-27,IOC,190.8,202.0,202.0,189.0,10727,0.0,0.0,-6.194690265486724,178.36,221.405,194.68
2000-03-28,IOC,191.95,185.0,196.0,183.15,15873,0.0,0.0,0.6027253668762889,180.39,219.794,189.96
2000-03-29,IOC,191.5,197.0,197.0,188.0,7355,0.0,0.0,-0.2344360510549537,182.92,218.083,190.73
2000-03-30,IOC,183.5,192.0,194.8,180.0,10526,0.0,0.0,-4.177545691906004,184.585,216.44,186.26
2000-03-31,IOC,190.65,181.1,192.0,181.0,5717,0.0,0.0,3.8964577656675834,186.155,215.063,188.77
2000-04-03,IOC,192.4,193.0,196.0,183.0,16245,0.0,0.0,0.91791240493051,188.465,213.914,192.76
2000-04-04,IOC,184.4,193.0,193.0,177.1,42137,0.0,0.0,-4.158004158004158,190.235,212.486,182.34
2000-04-05,IOC,182.2,183.5,189.95,179.55,12559,0.0,0.0,-1.19305856832973,190.45,210.989,183.59
2000-04-06,IOC,185.5,184.5,186.0,178.1,9995,0.0,0.0,1.8111964873765096,189.63,209.616,182.48
2000-04-07,IOC,191.45,186.0,194.0,185.0,22185,0.0,0.0,3.207547169811309,188.435,208.564,189.74
2000-04-10,IOC,184.95,192.0,193.0,184.0,26382,0.0,0.0,-3.3951423348132725,187.85,207.262,185.75
2000-04-11,IOC,180.0,176.5,184.0,176.5,20628,0.0,0.0,-2.676399026763987,186.655,205.881,181.31
2000-04-12,IOC,183.6,187.0,187.0,181.0,6898,0.0,0.0,2.0000000000000018,185.865,204.609,182.97
2000-04-13,IOC,182.4,181.0,183.0,180.0,5650,0.0,0.0,-0.6535947712418277,185.755,203.27,181.46
2000-04-17,IOC,171.75,179.0,179.0,168.0,17698,0.0,0.0,-5.838815789473683,183.865,201.458,172.69
2000-04-18,IOC,172.05,174.95,175.0,170.2,12735,0.0,0.0,0.1746724890829831,181.83,199.709,172.25
2000-04-19,IOC,172.55,175.0,175.95,170.0,8696,0.0,0.0,0.2906131938390066,180.645,198.004,172.56
2000-04-20,IOC,169.6,170.0,170.5,165.0,7197,0.0,0.0,-1.709649376992184,179.385,196.317,167.97
2000-04-24,IOC,167.8,171.9,171.9,166.0,6710,0.0,0.0,-1.0613207547169656,177.615,194.824,167.46
2000-04-25,IOC,159.55,163.05,166.0,154.6,9939,0.0,0.0,-4.916567342073897,174.425,193.004,160.22
2000-04-26,IOC,170.2,165.0,170.95,163.0,6046,0.0,0.0,6.675023503603872,172.95,191.473,168.7
2000-04-27,IOC,166.65,169.0,170.0,166.0,3936,0.0,0.0,-2.0857814336075142,171.615,189.987,167.86
2000-04-28,IOC,160.55,172.0,172.0,159.0,17436,0.0,0.0,-3.660366036603657,169.31,188.618,160.99
2000-05-02,IOC,148.9,160.0,160.0,147.95,24654,0.0,0.0,-7.256306446589855,165.96,187.051,155.77
2000-05-03,IOC,137.85,149.0,153.95,137.0,96997,0.0,0.0,-7.421087978509078,162.57,185.245,140.69
2000-05-04,IOC,138.65,140.0,145.95,137.0,84775,0.0,0.0,0.5803409503083223,159.23,183.407,140.51
2000-05-05,IOC,135.45,143.0,143.0,134.75,86728,0.0,0.0,-2.3079697078975947,155.52,181.719,137.73
2000-05-08,IOC,131.8,137.7,143.0,128.0,63155,0.0,0.0,-2.694721299372449,151.74,180.076,135.17
2000-05-09,IOC,129.25,135.0,135.0,125.0,75685,0.0,0.0,-1.9347496206373327,147.885,178.533,128.14
2000-05-10,IOC,133.1,135.5,135.5,129.0,49948,0.0,0.0,2.9787234042553123,145.23999999999998,176.92700000000002,131.97
2000-05-11,IOC,132.65,128.2,133.0,128.1,14571,0.0,0.0,-0.3380916604057038,141.485,175.34,131.74
2000-05-12,IOC,133.6,132.0,134.5,130.05,34360,0.0,0.0,0.7161703731624502,138.18,173.833,132.72
2000-05-15,IOC,136.7,133.0,138.9,129.15,24862,0.0,0.0,2.3203592814371232,135.79500000000002,172.15699999999998,133.98
2000-05-16,IOC,143.2,142.0,146.0,136.1,30559,0.0,0.0,4.754937820043903,135.225,170.58900000000003,139.96
2000-05-17,IOC,152.55,149.5,154.7,145.1,74270,0.0,0.0,6.529329608938572,136.695,169.20199999999997,151.78
2000-05-18,IOC,155.8,149.25,164.75,149.0,91805,0.0,0.0,2.130449033103909,138.41,168.235,159.69
2000-05-19,IOC,153.5,157.0,162.0,149.3,98202,0.0,0.0,-1.4762516046213148,140.21499999999995,167.50600000000003,153.15
2000-05-22,IOC,153.05,151.9,154.25,150.0,45465,0.0,0.0,-0.2931596091205191,142.34,166.998,152.38
2000-05-23,IOC,153.3,152.0,154.95,150.05,91340,0.0,0.0,0.1633453119895378,144.745,166.607,152.75
2000-05-24,IOC,149.8,152.1,152.1,143.0,120451,0.0,0.0,-2.283105022831045,146.41500000000002,166.237,149.13
2000-05-25,IOC,153.4,151.0,161.7,149.1,162797,0.0,0.0,2.403204272363157,148.49,165.827,155.51
2000-05-26,IOC,151.05,153.0,153.5,148.5,123128,0.0,0.0,-1.5319426336375397,150.235,165.415,150.7
2000-05-29,IOC,151.1,151.5,154.0,149.1,66166,0.0,0.0,0.0331016219794699,151.675,165.113,151.44
2000-05-30,IOC,152.4,151.0,152.95,148.5,82121,0.0,0.0,0.8603573792190788,152.595,164.824,151.09
2000-05-31,IOC,150.7,154.9,155.8,149.1,92574,0.0,0.0,-1.1154855643044748,152.41000000000005,164.33900000000003,151.5
2000-06-01,IOC,145.0,149.0,152.5,144.0,72898,0.0,0.0,-3.7823490378234847,151.33,163.85299999999998,146.63
2000-06-02,IOC,150.45,146.05,152.05,146.0,38246,0.0,0.0,3.7586206896551566,151.025,163.52800000000002,148.81
2000-06-05,IOC,149.95,154.0,154.0,147.0,69014,0.0,0.0,-0.3323363243602495,150.71499999999995,162.92600000000002,150.19
2000-06-06,IOC,148.9,148.05,150.2,146.05,68470,0.0,0.0,-0.7002334111370301,150.275,162.03,148.71
2000-06-07,IOC,149.25,148.0,151.4,146.0,42275,0.0,0.0,0.2350570852921452,150.22,160.947,149.17
2000-06-08,IOC,152.75,148.6,153.9,148.6,59983,0.0,0.0,2.345058626465657,150.155,160.186,150.94
2000-06-09,IOC,153.2,150.3,155.0,150.1,46663,0.0,0.0,0.2945990180032609,150.37,159.41099999999997,151.89
2000-06-12,IOC,150.85,154.0,155.0,150.0,36755,0.0,0.0,-1.533942558746737,150.345,158.59799999999998,151.34
2000-06-13,IOC,151.8,151.0,152.5,149.6,55159,0.0,0.0,0.6297646668876444,150.285,157.964,151.47
2000-06-14,IOC,153.85,153.1,154.9,152.8,13180,0.0,0.0,1.3504611330698246,150.6,157.22799999999998,153.9
2000-06-15,IOC,153.45,151.5,154.0,151.15,9591,0.0,0.0,-0.2599935001625031,151.445,156.449,153.07
2000-06-16,IOC,155.1,152.8,156.0,152.0,17090,0.0,0.0,1.0752688172043,151.91000000000005,155.863,154.09
2000-06-19,IOC,155.7,156.0,156.75,153.15,32532,0.0,0.0,0.3868471953578201,152.485,155.333,154.69
2000-06-20,IOC,157.05,156.0,161.0,154.5,40005,0.0,0.0,0.8670520231214063,153.3,154.764,157.05
2000-06-21,IOC,159.85,156.5,163.0,156.5,27814,0.0,0.0,1.782871696911803,154.36,154.132,160.05
2000-06-22,IOC,161.8,169.0,169.0,155.0,16039,0.0,0.0,1.219893650297155,155.265,153.669,160.69
2000-06-23,IOC,164.55,162.0,168.0,160.0,46732,0.0,0.0,1.699629171817052,156.4,153.36,164.31
2000-06-26,IOC,160.5,165.0,165.0,157.65,77950,0.0,0.0,-2.461257976299003,157.365,152.898,159.84
2000-06-27,IOC,159.5,155.0,163.0,155.0,27954,0.0,0.0,-0.6230529595015577,158.13500000000002,152.44,159.61
2000-06-28,IOC,162.2,162.5,163.0,158.0,10481,0.0,0.0,1.692789968652031,158.96999999999997,152.24900000000002,160.7
2000-06-29,IOC,162.6,162.9,163.0,160.25,15712,0.0,0.0,0.2466091245376223,159.88500000000002,152.06,162.23
2000-06-30,IOC,164.65,160.9,165.0,160.1,12724,0.0,0.0,1.260762607626087,160.83999999999995,151.90200000000002,162.92
2000-07-03,IOC,164.05,162.75,164.9,162.1,10065,0.0,0.0,-0.3644093531733894,161.675,151.791,163.54
2000-07-04,IOC,164.8,163.0,165.0,161.0,20265,0.0,0.0,0.4571776897287494,162.45,151.731,162.82
2000-07-05,IOC,165.3,165.0,166.0,162.0,21942,0.0,0.0,0.3033980582524354,162.995,151.846,165.12
2000-07-06,IOC,165.65,163.0,167.0,162.75,19638,0.0,0.0,0.2117362371445885,163.38000000000002,151.755,164.99
