date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,ITC,829.05,867.0,904.4,800.0,1122941,0.0,0.0,-0.9971339861476024,771.325,818.285,864.57
2000-03-14,ITC,859.0,825.0,878.0,791.0,1118886,0.0,0.0,3.6125686026174497,782.5400000000001,821.295,834.93
2000-03-15,ITC,851.7,860.0,875.0,826.0,448662,0.0,0.0,-0.8498253783469134,792.335,824.082,851.9
2000-03-16,ITC,785.65,859.0,859.0,783.6,478057,0.0,0.0,-7.755078079135858,798.4399999999999,825.271,805.69
2000-03-21,ITC,725.15,775.0,787.9,722.8,395936,0.0,0.0,-7.700630051549673,803.42,824.0880000000001,733.69
2000-03-22,ITC,740.45,745.0,770.0,736.0,449248,0.0,0.0,2.1099082948355496,804.525,821.9559999999999,750.12
2000-03-23,ITC,704.75,746.9,747.8,697.0,298809,0.0,0.0,-4.821392396515634,796.9399999999999,817.7539999999999,715.3
2000-03-24,ITC,721.4,712.0,733.0,712.0,258417,0.0,0.0,2.3625399077687126,788.325,814.508,721.2
2000-03-27,ITC,720.5,724.9,732.0,710.05,243855,0.0,0.0,-0.1247574161352904,777.5049999999999,811.151,720.96
2000-03-28,ITC,701.95,722.0,723.9,692.15,385509,0.0,0.0,-2.574600971547525,763.96,807.595,706.75
2000-03-29,ITC,723.15,720.0,750.0,712.0,347546,0.0,0.0,3.0201581309210024,753.37,804.307,726.01
2000-03-30,ITC,720.15,729.9,754.0,711.0,603876,0.0,0.0,-0.4148516905206345,739.4849999999999,802.363,730.22
2000-03-31,ITC,741.45,711.0,751.85,710.0,586148,0.0,0.0,2.9577171422620285,728.46,800.765,734.23
2000-04-03,ITC,797.0,739.9,800.8,721.05,1720025,0.0,0.0,7.492076336907405,729.595,800.183,772.76
2000-04-04,ITC,733.25,785.0,785.0,733.25,581309,0.0,0.0,-7.998745294855714,730.405,799.1260000000001,744.37
2000-04-05,ITC,698.75,680.0,740.0,675.05,706269,0.0,0.0,-4.705080122741223,726.235,796.47,700.53
2000-04-06,ITC,682.8,705.0,711.0,646.1,431386,0.0,0.0,-2.282647584973174,724.04,794.2769999999999,676.06
2000-04-07,ITC,730.95,682.0,733.9,682.0,1087357,0.0,0.0,7.051845342706509,724.9950000000001,794.305,722.23
2000-04-10,ITC,736.0,735.0,771.8,725.0,1461248,0.0,0.0,0.6908817292564429,726.5450000000001,793.448,752.45
2000-04-11,ITC,717.0,726.1,728.0,703.0,479431,0.0,0.0,-2.5815217391304324,728.05,793.4040000000001,712.56
2000-04-12,ITC,721.85,725.0,739.6,715.0,353802,0.0,0.0,0.6764295676429555,727.92,793.997,724.76
2000-04-13,ITC,685.65,701.55,701.55,680.0,402330,0.0,0.0,-5.014892290642104,724.47,793.6790000000001,689.26
2000-04-17,ITC,630.8,680.0,680.0,630.8,323927,0.0,0.0,-7.999708305987019,713.405,792.0139999999999,632.57
2000-04-18,ITC,580.7,630.8,647.25,580.35,688991,0.0,0.0,-7.942295497780583,691.775,789.446,598.34
2000-04-19,ITC,582.2,619.0,619.0,558.0,756996,0.0,0.0,0.2583089374892378,676.67,787.18,583.74
2000-04-20,ITC,575.7,571.5,584.95,542.65,918435,0.0,0.0,-1.1164548265200969,664.365,783.7479999999999,563.24
2000-04-24,ITC,530.95,575.0,575.0,529.65,624758,0.0,0.0,-7.773145735626197,649.1800000000001,779.102,539.98
2000-04-25,ITC,513.6,500.7,526.0,489.8,873486,0.0,0.0,-3.267727657971564,627.4449999999999,772.887,502.87
2000-04-26,ITC,554.7,529.8,554.7,529.8,304309,0.0,0.0,8.002336448598136,609.3149999999999,766.175,546.8
2000-04-27,ITC,574.95,594.0,594.0,554.7,947651,0.0,0.0,3.6506219578150256,595.11,758.443,574.93
2000-04-28,ITC,569.2,575.0,584.9,561.0,357585,0.0,0.0,-1.000086964083835,579.845,751.1759999999999,570.6
2000-05-02,ITC,527.95,565.0,574.0,525.0,433751,0.0,0.0,-7.247013352073084,564.075,741.605,538.35
2000-05-03,ITC,525.7,502.0,544.5,495.1,582541,0.0,0.0,-0.4261767212804246,553.565,732.175,518.07
2000-05-04,ITC,549.15,530.0,557.0,520.0,513933,0.0,0.0,4.460719041278272,550.4100000000001,722.556,545.0
2000-05-05,ITC,564.4,553.8,573.0,549.0,641020,0.0,0.0,2.777019029409078,548.63,714.7080000000001,560.35
2000-05-08,ITC,520.35,572.0,593.1,519.25,485042,0.0,0.0,-7.804748405386242,543.095,705.5169999999999,543.87
2000-05-09,ITC,529.1,506.3,541.0,500.0,434331,0.0,0.0,1.6815604881329935,542.9100000000001,697.273,522.97
2000-05-10,ITC,533.0,535.0,555.45,519.0,1119290,0.0,0.0,0.7371007371007376,544.85,690.612,535.17
2000-05-11,ITC,533.25,530.0,545.5,515.0,564757,0.0,0.0,0.046904315197005,542.705,684.423,534.61
2000-05-12,ITC,559.45,539.9,568.4,531.0,1340982,0.0,0.0,4.913267698077828,541.1550000000001,679.409,546.43
2000-05-15,ITC,580.45,552.0,590.0,536.0,873242,0.0,0.0,3.75368665653768,542.28,674.948,563.73
2000-05-16,ITC,625.8,585.2,634.8,585.2,1344438,0.0,0.0,7.8129037815487745,552.0649999999999,672.5269999999999,614.16
2000-05-17,ITC,618.55,635.0,640.0,613.0,1214993,0.0,0.0,-1.1585170981144088,561.35,669.823,624.74
2000-05-18,ITC,604.7,610.05,625.0,595.0,748001,0.0,0.0,-2.239107590332212,566.905,667.425,607.79
2000-05-19,ITC,619.05,597.05,622.0,595.1,560732,0.0,0.0,2.373077559120218,572.37,666.2990000000001,610.92
2000-05-22,ITC,628.45,615.0,637.8,611.25,716805,0.0,0.0,1.518455698247334,583.18,664.28,629.48
