date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,KOTAKMAH,151.75,165.0,165.0,151.75,21700,0.0,0.0,-8.002424977265832,170.26999999999998,181.788,153.67
2000-03-14,KOTAKMAH,139.65,140.1,140.1,139.65,32980,0.0,0.0,-7.973640856672159,170.19,179.99399999999997,139.7
2000-03-15,KOTAKMAH,144.3,144.0,148.0,128.6,119746,0.0,0.0,3.329752953813103,169.45,177.94100000000003,139.7
2000-03-16,KOTAKMAH,134.3,140.0,144.0,133.0,52127,0.0,0.0,-6.930006930006927,166.49499999999998,176.05899999999997,138.26
2000-03-21,KOTAKMAH,123.6,129.0,134.5,123.6,72573,0.0,0.0,-7.9672375279225776,161.73,174.013,125.34
2001-07-02,KOTAKMAH,48.05,48.05,49.5,48.0,5540,0.0,0.0,-61.12459546925566,148.04000000000002,170.79699999999997,48.33
2001-07-03,KOTAKMAH,48.0,49.5,49.5,47.5,3876,0.0,0.0,-0.1040582726326677,132.865,167.914,47.99
2001-07-04,KOTAKMAH,48.4,48.5,49.0,47.75,2468,0.0,0.0,0.8333333333333304,118.225,165.34600000000003,48.13
2001-07-05,KOTAKMAH,48.3,49.0,49.45,48.0,3135,0.0,0.0,-0.2066115702479387,105.13,163.058,48.16
2001-07-06,KOTAKMAH,48.0,48.5,48.5,47.0,5890,0.0,0.0,-0.6211180124223503,93.435,160.671,47.47
2001-07-09,KOTAKMAH,47.6,47.5,48.5,47.0,7109,0.0,0.0,-0.8333333333333304,83.02000000000001,158.42600000000002,47.77
2001-07-10,KOTAKMAH,46.8,47.05,48.0,46.0,4730,0.0,0.0,-1.6806722689075682,73.735,156.292,47.25
2001-07-11,KOTAKMAH,46.0,49.5,49.5,46.0,3889,0.0,0.0,-1.709401709401703,63.905,154.22199999999998,46.98
2001-07-12,KOTAKMAH,46.0,46.5,47.0,46.0,1770,0.0,0.0,0.0,55.075,151.91199999999998,46.34
2001-07-13,KOTAKMAH,45.0,46.0,47.9,45.0,4000,0.0,0.0,-2.1739130434782594,47.215,149.32299999999998,45.68
2001-07-16,KOTAKMAH,44.5,45.0,46.0,44.5,2095,0.0,0.0,-1.1111111111111072,46.86,146.444,44.94
2001-07-17,KOTAKMAH,45.15,44.0,46.0,44.0,4489,0.0,0.0,1.4606741573033766,46.575,143.276,45.1
2001-07-18,KOTAKMAH,44.9,45.0,45.45,42.1,3040,0.0,0.0,-0.5537098560354337,46.225,140.16199999999998,44.94
2001-07-19,KOTAKMAH,44.55,44.7,45.0,44.1,3455,0.0,0.0,-0.7795100222717233,45.85,137.154,44.52
2001-07-20,KOTAKMAH,43.6,44.0,44.95,43.55,2853,0.0,0.0,-2.1324354657687894,45.41,133.815,43.92
2001-07-23,KOTAKMAH,44.0,41.65,44.0,41.65,105,0.0,0.0,0.917431192660545,45.05,130.14700000000002,43.89
2001-07-24,KOTAKMAH,39.95,35.5,43.5,35.5,4706,0.0,0.0,-9.204545454545444,44.365,126.334,40.47
2001-07-25,KOTAKMAH,41.65,39.75,42.4,38.7,7239,0.0,0.0,4.255319148936154,43.92999999999999,122.727,40.19
2001-07-26,KOTAKMAH,42.0,42.0,42.35,40.65,3724,0.0,0.0,0.8403361344537785,43.53,119.419,41.65
2001-07-27,KOTAKMAH,42.3,41.95,42.5,41.1,4703,0.0,0.0,0.7142857142857117,43.26,116.185,41.99
2001-07-30,KOTAKMAH,41.45,40.1,42.25,40.1,3392,0.0,0.0,-2.0094562647754,42.955,113.181,40.64
2001-07-31,KOTAKMAH,42.0,41.05,42.5,41.05,2776,0.0,0.0,1.3268998793727338,42.64,110.221,41.92
2001-08-01,KOTAKMAH,42.45,42.05,43.0,42.0,4485,0.0,0.0,1.0714285714285676,42.395,107.469,42.23
2001-08-02,KOTAKMAH,42.2,42.1,42.5,41.5,1867,0.0,0.0,-0.5889281507656108,42.16,104.863,42.03
2001-08-03,KOTAKMAH,43.05,43.0,43.15,42.0,4668,0.0,0.0,2.014218009478652,42.105,102.301,42.83
2001-08-06,KOTAKMAH,43.0,43.0,43.25,43.0,101101,0.0,0.0,-0.1161440185830309,42.005,100.01099999999998,43.0
2001-08-07,KOTAKMAH,42.8,43.0,43.5,42.5,6326,0.0,0.0,-0.4651162790697771,42.29,97.875,42.95
2001-08-08,KOTAKMAH,43.2,43.1,43.75,42.6,2770,0.0,0.0,0.9345794392523477,42.44500000000001,95.507,43.0
2001-08-09,KOTAKMAH,43.3,43.0,43.4,43.0,1948,0.0,0.0,0.2314814814814658,42.575,92.882,43.08
2001-08-10,KOTAKMAH,43.0,43.15,43.45,43.0,1384,0.0,0.0,-0.6928406466512604,42.645,90.245,43.04
2001-08-13,KOTAKMAH,43.0,44.0,44.0,43.0,1085,0.0,0.0,0.0,42.8,87.67299999999999,43.27
2001-08-14,KOTAKMAH,43.0,43.5,43.75,43.0,3931,0.0,0.0,0.0,42.9,85.26899999999999,43.05
2001-08-16,KOTAKMAH,43.1,43.0,43.9,43.0,4214,0.0,0.0,0.2325581395348885,42.965,82.92300000000002,43.03
2001-08-17,KOTAKMAH,43.0,43.0,43.5,43.0,3985,0.0,0.0,-0.2320185614849257,43.045,80.706,43.05
2001-08-20,KOTAKMAH,43.0,43.0,43.4,43.0,785,0.0,0.0,0.0,43.04,78.7,43.03
2001-08-21,KOTAKMAH,43.0,43.0,43.45,43.0,1745,0.0,0.0,0.0,43.04,76.677,43.19
2001-08-23,KOTAKMAH,43.0,42.9,43.35,42.9,3205,0.0,0.0,0.0,43.06,74.72800000000001,43.0
2001-08-24,KOTAKMAH,43.0,43.0,43.25,43.0,2848,0.0,0.0,0.0,43.04,72.554,43.05
2001-08-27,KOTAKMAH,43.25,43.0,43.45,43.0,2794,0.0,0.0,0.5813953488372103,43.035,70.14200000000001,43.07
2001-08-28,KOTAKMAH,43.05,43.0,43.25,43.0,2580,0.0,0.0,-0.4624277456647507,43.040000000000006,67.578,43.02
2001-08-29,KOTAKMAH,43.05,43.5,43.5,43.0,1331,0.0,0.0,0.0,43.045,64.74,43.05
2001-08-30,KOTAKMAH,43.0,43.0,43.25,43.0,1008,0.0,0.0,-0.1161440185830309,43.045,61.605,43.01
2001-08-31,KOTAKMAH,43.1,43.0,43.5,43.0,3622,0.0,0.0,0.2325581395348885,43.045,58.571000000000005,43.12
2001-09-03,KOTAKMAH,43.15,43.85,44.0,43.0,3510,0.0,0.0,0.1160092807424462,43.06,55.849,43.58
2001-09-04,KOTAKMAH,43.0,45.45,45.45,43.0,1051,0.0,0.0,-0.3476245654692844,43.06,53.41,43.06
2001-09-05,KOTAKMAH,43.0,43.0,43.25,43.0,2478,0.0,0.0,0.0,43.06,51.235,43.0
2001-09-06,KOTAKMAH,43.0,43.9,43.9,43.0,3770,0.0,0.0,0.0,43.06,49.30200000000001,43.0
2001-09-07,KOTAKMAH,43.15,43.0,43.4,43.0,2462,0.0,0.0,0.3488372093023217,43.075,47.279,43.09
2001-09-10,KOTAKMAH,43.0,43.0,43.4,43.0,2664,0.0,0.0,-0.3476245654692844,43.05,45.453,43.06
2001-09-11,KOTAKMAH,43.0,43.0,43.35,42.5,15425,0.0,0.0,0.0,43.045,43.841,42.84
2001-09-12,KOTAKMAH,37.75,41.6,41.6,36.0,11878,0.0,0.0,-12.209302325581394,42.515,43.635,38.39
2001-09-13,KOTAKMAH,37.75,38.5,38.9,37.75,3591,0.0,0.0,0.0,41.99,43.43,38.13
2001-09-14,KOTAKMAH,32.1,37.75,37.75,31.5,5307,0.0,0.0,-14.966887417218544,40.89,43.104000000000006,34.0
2001-09-17,KOTAKMAH,27.3,30.0,30.0,26.5,14708,0.0,0.0,-14.953271028037385,39.30499999999999,42.684,27.67
2001-09-18,KOTAKMAH,32.15,26.95,32.75,26.0,7843,0.0,0.0,17.765567765567745,38.22,42.367,31.17
2001-09-19,KOTAKMAH,35.75,32.1,36.9,32.05,7502,0.0,0.0,11.197511664074655,37.495,42.13,35.06
