date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2000-03-13,M&M,375.7,353.7,375.7,345.0,67187,0.0,0.0,8.00632456518613,392.605,500.641,369.04
2000-03-14,M&M,387.4,398.7,400.5,375.0,143127,0.0,0.0,3.114186851211076,383.13,499.32200000000006,390.09
2000-03-15,M&M,356.45,384.9,384.9,356.45,16755,0.0,0.0,-7.989158492514193,372.73,496.658,358.76
2000-03-16,M&M,327.95,335.0,350.0,327.95,80436,0.0,0.0,-7.995511291906299,363.155,492.92,337.27
2000-03-21,M&M,350.45,328.0,354.2,323.0,74529,0.0,0.0,6.860801951516993,359.065,489.43799999999993,351.76
2000-03-22,M&M,369.2,357.0,378.5,355.0,211467,0.0,0.0,5.350263946354694,355.74,486.894,369.91
2000-03-23,M&M,339.7,380.0,382.0,339.7,27793,0.0,0.0,-7.990249187432285,352.68,483.744,355.21
2000-03-24,M&M,330.25,327.1,335.0,316.0,72299,0.0,0.0,-2.7818663526641085,350.7,479.693,326.73
2000-03-27,M&M,339.65,335.0,352.95,335.0,83845,0.0,0.0,2.8463285389856097,352.46,476.681,343.29
2000-03-28,M&M,348.9,356.5,365.0,344.5,87565,0.0,0.0,2.7233917267775576,352.565,473.679,351.99
2000-03-29,M&M,351.45,358.5,370.5,348.0,151834,0.0,0.0,0.7308684436801327,350.14,470.328,357.77
2000-03-30,M&M,325.65,341.1,341.1,323.35,96674,0.0,0.0,-7.341015791720018,343.965,465.63,325.75
2000-03-31,M&M,317.85,324.0,324.95,308.5,164694,0.0,0.0,-2.395209580838309,340.105,460.508,315.11
2000-04-03,M&M,292.7,319.0,329.0,292.45,75503,0.0,0.0,-7.912537360390126,336.58000000000004,454.378,312.19
2000-04-04,M&M,296.7,271.0,305.0,269.3,201547,0.0,0.0,1.3665869490946392,331.205,448.865,285.39
2000-04-05,M&M,315.5,302.0,320.4,292.1,251775,0.0,0.0,6.336366700370744,325.835,444.175,309.7
2000-04-06,M&M,314.4,320.0,324.0,297.0,207445,0.0,0.0,-0.3486529318542097,323.30499999999995,440.169,305.41
2000-04-07,M&M,339.55,319.0,339.55,319.0,160458,0.0,0.0,7.999363867684495,324.235,436.815,330.55
2000-04-10,M&M,355.15,340.0,364.95,340.0,207932,0.0,0.0,4.594316006479149,325.785,433.932,355.39
2000-04-11,M&M,348.45,350.0,351.0,331.15,55588,0.0,0.0,-1.8865268196536664,325.74,430.679,345.08
2000-04-12,M&M,322.85,345.0,345.0,321.0,83549,0.0,0.0,-7.346821638685597,322.88,426.981,329.24
2000-04-13,M&M,308.05,311.0,314.25,303.0,78098,0.0,0.0,-4.584172216199479,321.12,423.50299999999993,308.16
2000-04-17,M&M,283.8,295.25,295.25,283.45,142306,0.0,0.0,-7.872098685278361,317.71500000000003,418.768,283.94
