date,symbol,close,open,high,low,volume,deliverable_volume,%deliverble,daily_return,ma_10,ma_50,vwap
2010-03-22,NESTLEIND,2634.7,2650.0,2659.8,2611.5,21885,19700,0.9002,-0.4402289946530136,2697.815,2616.528,2638.02
2010-03-23,NESTLEIND,2653.85,2641.2,2661.0,2635.0,2990,2719,0.9094,0.7268379701673933,2688.68,2619.712,2648.04
2010-03-25,NESTLEIND,2648.35,2660.0,2665.0,2610.0,8068,7243,0.8976999999999999,-0.2072460764549588,2679.52,2622.7,2632.08
2010-03-26,NESTLEIND,2687.4,2632.1,2719.95,2632.1,22900,22288,0.9733,1.4745029924292608,2674.985,2626.391,2681.61
2010-03-29,NESTLEIND,2712.9,2670.0,2800.0,2643.0,7730,6144,0.7948000000000001,0.9488725161866496,2674.73,2630.862,2676.14
2010-03-30,NESTLEIND,2670.65,2711.0,2730.0,2643.1,9235,7720,0.836,-1.5573740277931347,2667.315,2632.911,2686.63
2010-03-31,NESTLEIND,2670.6,2750.0,2751.0,2600.0,16964,13453,0.793,-0.0018722033961804,2667.1400000000003,2636.053,2688.05
2010-04-01,NESTLEIND,2709.5,2665.65,2735.0,2635.0,20334,15293,0.7521,1.4566015127686738,2670.235,2639.52,2669.44
2010-04-05,NESTLEIND,2719.1,2750.0,2750.0,2699.1,13077,8382,0.6409999999999999,0.3543089130835897,2675.34,2642.78,2711.1
2010-04-06,NESTLEIND,2760.15,2715.1,2831.0,2705.0,32846,29085,0.8855,1.5096907064837684,2686.7200000000003,2647.133,2765.82
2010-04-07,NESTLEIND,2751.15,2750.0,2770.0,2712.2,3657,2612,0.7142000000000001,-0.3260692353676431,2698.365,2651.632,2734.09
2010-04-08,NESTLEIND,2718.55,2716.0,2750.0,2675.05,108603,106346,0.9792,-1.184959017138287,2704.835,2655.423,2724.73
2010-04-09,NESTLEIND,2700.95,2695.3,2724.8,2691.0,3248,2116,0.6515000000000001,-0.6474039469570259,2710.0950000000003,2658.9970000000003,2703.38
2010-04-12,NESTLEIND,2694.85,2727.65,2730.0,2659.2,5090,3439,0.6756000000000001,-0.2258464614302346,2710.84,2661.556,2694.39
